,English,,Simplified Chinese,
2000277,"Circular Quay, Harbour Master Steps",The Rocks,"环形码头 (Circular Quay), 港务长阶梯 (Harbour Master Steps)",岩石区 (The Rocks)
229557,Stockton Wharf,Stockton,斯托克顿 (Stockton) 码头,斯托克顿 (Stockton)
2000173,"Darling Harbour, Aquarium Wharf",Sydney,达令港 (Darling Harbour) 水族馆 (Aquarium) 码头,悉尼 (Sydney)
2000180,Darling Harbour Wharf 3,Sydney,达令港 (Darling Harbour) 3 号码头,悉尼 (Sydney)
2000266,Fort Denison Wharf,Sydney,丹尼森堡 (Fort Denison) 码头,悉尼 (Sydney)
210550,Church Point Wharf,Pittwater,教堂角 (Church Point) 码头,皮特沃特 (Pittwater)
211158,Huntleys Point Wharf,Huntleys Point,亨特利角 (Huntleys Point) 码头,亨特利角 (Huntleys Point)
21151,Rydalmere Wharf,Rydalmere,赖多米尔 (Rydalmere) 码头,赖多米尔 (Rydalmere)
204151,"Balmain Wharf, Yeend St (Temporary)",Balmain,"巴尔曼 (Balmain) 码头, 延德街 (Yeend St)（临时）",巴尔曼 (Balmain)
21122,Kissing Point Wharf,Putney,接吻角 (Kissing Point) 码头,普特尼 (Putney)
2000276,"Darling Harbour, Harbourside Steps",Sydney,达令港 (Darling Harbour) 港边阶梯 (Harbourside Steps) ,悉尼 (Sydney)
2000271,Darling Harbour Wharf 9,Sydney,达令港 (Darling Harbour) 9 号码头,悉尼 (Sydney)
2000272,"Circular Quay, Eastern Pontoon",Sydney,"环形码头 (Circular Quay), 东浮桥 (Eastern Pontoon)",悉尼 (Sydney)
2000275,"Darling Harbour, Pier 26",Sydney,达令港 (Darling Harbour) 26 号码头,悉尼 (Sydney)
2000278,Shark Island Wharf,Point Piper,鲨鱼岛 (Shark Island) 码头,派珀角 (Point Piper)
20003,"Circular Quay, Wharf 2",Sydney,环形码头 (Circular Quay) 2 号码头,悉尼 (Sydney)
20004,"Circular Quay, Wharf 3",Sydney,环形码头 (Circular Quay) 3 号码头,悉尼 (Sydney)
20005,"Circular Quay, Wharf 4",Sydney,环形码头 (Circular Quay) 4 号码头,悉尼 (Sydney)
20006,"Circular Quay, Wharf 5",Sydney,环形码头 (Circular Quay) 5 号码头,悉尼 (Sydney)
20009,Cockatoo Island Wharf,Cockatoo Island,鹦鹉岛 (Cockatoo Island) 码头,鹦鹉岛 (Cockatoo Island)
200910,Pyrmont Bay Wharf,Pyrmont,皮蒙特湾 (Pyrmont Bay) 码头,皮蒙特 (Pyrmont)
20271,Darling Point Wharf,Darling Point,达令角 (Darling Point) 码头,达令角 (Darling Point)
20291,Rose Bay Wharf,Rose Bay,玫瑰湾 (Rose Bay) 码头,玫瑰湾 (Rose Bay)
20301,Watsons Bay Wharf,Watsons Bay,屈臣氏灣 (Watsons Bay) 码头,屈臣氏湾 (Watsons Bay)
20411,Balmain West Wharf,Balmain,巴尔曼西 (Balmain West) 码头,巴尔曼 (Balmain)
20412,Birchgrove Wharf,Birchgrove,伯奇格罗夫 (Birchgrove) 码头,伯奇格罗夫 (Birchgrove)
20413,Balmain Wharf,Balmain,巴尔曼 (Balmain) 码头,巴尔曼 (Balmain)
20414,Balmain East Wharf,Balmain East,巴尔曼东 (Balmain East) 码头,巴尔曼东 (Balmain East)
20461,Abbotsford Wharf,Abbotsford,阿伯茨福德 (Abbotsford) 码头,阿伯茨福德 (Abbotsford)
20471,Drummoyne Wharf,Drummoyne,德拉莫因 (Drummoyne) 码头,德拉莫因 (Drummoyne)
20601,McMahons Point Wharf,Mcmahons Point,麦克马洪斯角 (McMahons Point) 码头,麦克马洪斯角 (Mcmahons Point)
20611,Milsons Point Wharf,Milsons Point,米尔逊角 (Milsons Point) 码头,米尔逊角 (Milsons Point)
206129,Jeffrey Street Wharf,Kirribilli,杰弗里街 (Jeffrey Street) 码头,基里比利 (Kirribilli)
20614,Kirribilli Wharf,Kirribilli,基里比利 (Kirribilli) 码头,基里比利 (Kirribilli)
2065145,Greenwich Wharf,Greenwich,格林威治 (Greenwich) 码头,格林威治 (Greenwich)
2066269,Longueville Wharf,Longueville,朗格维尔 (Longueville) 码头,朗格维尔 (Longueville)
2066270,Northwood Wharf,Northwood,诺斯伍德 (Northwood) 码头,诺斯伍德 (Northwood)
2066271,Riverview College Wharf,Riverview 2066,江景学院 (Riverview College) 码头,江景 2066 (Riverview 2066)
208028,Palm Beach Wharf,Pittwater,棕榈滩 (Palm Beach) 码头,皮特沃特 (Pittwater)
208030,Bennets Wharf,Pittwater,本尼斯 (Bennets) 码头,皮特沃特 (Pittwater)
208031,The Basin Wharf,Pittwater,盆地 (The Basin) 码头,皮特沃特 (Pittwater)
208032,Currawong Beach Wharf,Pittwater,库拉旺海滩 (Currawong Beach) 码头,皮特沃特 (Pittwater)
20832,Dangar Island Wharf,Brooklyn,丹加尔岛 (Dangar Island) 码头,布鲁克林 (Brooklyn)
2088232,Balmoral Wharf,Middle Harbour,巴尔莫勒尔 (Balmoral) 码头,中部港口 (Middle Harbour)
20891,Neutral Bay Wharf,Neutral Bay,中立湾 (Neutral Bay) 码头,中立湾 (Neutral Bay)
20892,Kurraba Point Wharf,Kurraba Point,库拉巴角 (Kurraba Point) 码头,库拉巴角 (Kurraba Point)
20901,Cremorne Point Wharf,Cremorne Point,克雷蒙角 (Cremorne Point) 码头,克雷蒙角 (Cremorne Point)
20902,Old Cremorne Wharf,Cremorne Point,老克雷蒙 (Old Cremorne) 码头,克雷蒙角 (Cremorne Point)
20951,"Manly, Wharf 1",Manly,曼利 (Manly) 1 号码头,曼利 (Manly)
209593,"Manly, Wharf 3",Manly,曼利 (Manly) 3 号码头,曼利 (Manly)
210540,"Scotland Island, Bells Wharf",Pittwater,苏格兰岛 (Scotland Island) 贝尔斯 (Bells) 码头,皮特沃特 (Pittwater)
210541,"Scotland Island, Tennis Wharf",Pittwater,苏格兰岛 (Scotland Island) 网球 (Tennis) 码头,皮特沃特 (Pittwater)
210544,"Scotland Island, Eastern Wharf",Pittwater,苏格兰岛 (Scotland Island) 东部 (Eastern) 码头,皮特沃特 (Pittwater)
21271,Sydney Olympic Park Wharf,Sydney Olympic Park,悉尼奥林匹克公园 (Sydney Olympic Park) 码头,悉尼奥林匹克公园 (Sydney Olympic Park)
21501,Parramatta Wharf,Parramatta,帕拉马塔 (Parramatta) 码头,帕拉马塔 (Parramatta)
22302,Bundeena Wharf,Bundeena,本迪纳 (Bundeena) 码头,本迪纳 (Bundeena)
22561,Little Wobby Wharf,Little Wobby,小沃比 (Little Wobby) 码头,小沃比 (Little Wobby)
2256433,Woy Woy Wharf,Woy Woy,沃伊沃伊 (Woy Woy) 码头,沃伊沃伊 (Woy Woy)
2257301,Ettalong Wharf,Ettalong Beach,艾塔龙 (Ettalong) 码头,艾塔龙海滩 (Ettalong Beach)
256910,Douglas Park Station,Douglas Park,道格拉斯公园 (Douglas Park) 站,道格拉斯公园 (Douglas Park)
225610,Woy Woy Station,Woy Woy,沃伊沃伊 (Woy Woy) 站,沃伊沃伊 (Woy Woy)
208010,Mount Kuring-gai Station,Mount Kuring-Gai,柯灵盖山 (Mount Kuring-gai) 站,柯灵盖山 (Mount Kuring-Gai)
228410,Booragul Station,Teralba,布拉古尔 (Booragul) 站,特拉巴 (Teralba)
213010,Summer Hill Station,Summer Hill,萨默希尔 (Summer Hill) 站,萨默希尔 (Summer Hill)
214820,Marayong Station,Marayong,马拉永 (Marayong) 站,马拉永 (Marayong)
278020,Katoomba Station,Katoomba,卡通巴 (Katoomba) 站,卡通巴 (Katoomba)
25821,Yass Junction,Yass,亚斯 (Yass) 枢纽,亚斯 (Yass)
28201,Stuart Town Station,Stuart Town,斯图尔特镇 (Stuart Town) 站,斯图尔特镇 (Stuart Town)
204410,St Peters Station,St Peters,圣彼得 (St Peters) 站,圣彼得 (St Peters)
251910,Fairy Meadow Station,Fairy Meadow,仙女草地 (Fairy Meadow) 站,仙女草地 (Fairy Meadow)
2257304,Hardys Bay Wharf,Killcare,哈迪斯湾 (Hardys Bay) 码头,克里卡尔 (Killcare)
20603,North Sydney Wharf,North Sydney,北悉尼 (North Sydney) 码头,北悉尼 (North Sydney)
20462,Chiswick Wharf,Chiswick,奇斯威克 (Chiswick) 码头,奇斯威克 (Chiswick)
209599,Quarantine Station Wharf,North Harbour,检疫站 (Quarantine Station) 码头,北海港 (North Harbour)
208034,Bonnie Doon Wharf,Pittwater,邦妮杜恩 (Bonnie Doon) 码头,皮特沃特 (Pittwater)
21371,Cabarita Wharf,Cabarita,卡巴利塔 (Cabarita) 码头,卡巴利塔 (Cabarita)
203948,"Cockatoo Island, Camber Wharf",Cockatoo Island,鹦鹉岛 (Cockatoo Island) 坎伯 (Camber) 码头,鹦鹉岛 (Cockatoo Island)
223220,Loftus Station,Loftus,洛夫特斯 (Loftus) 站,洛夫特斯 (Loftus)
206410,Artarmon Station,Artarmon,阿尔塔蒙 (Artarmon) 站,阿尔塔蒙 (Artarmon)
207910,Mount Colah Station,Mount Colah,芒特科拉 (Mount Colah) 站,芒特科拉 (Mount Colah)
221710,Kogarah Station,Kogarah,高嘉华 (Kogarah) 站,高嘉华 (Kogarah)
230010,Civic Station,Newcastle,市政 (Civic) 站,纽卡斯尔 (Newcastle)
242040,Hilldale Station,Hilldale,希尔戴尔 (Hilldale) 站,希尔戴尔 (Hilldale)
212010,Thornleigh Station,Thornleigh,桑利 (Thornleigh) 站,桑利 (Thornleigh)
214220,Rosehill Station,Rosehill,玫瑰山 (Rosehill) 站,玫瑰山 (Rosehill)
2000444,Chinatown Light Rail,Haymarket,唐人街 (Chinatown) 轻轨,喜市 (Haymarket)
2000169,Chinatown Light Rail,Haymarket,唐人街 (Chinatown) 轻轨,喜市 (Haymarket)
275030,Lapstone Station,Lapstone,拉普斯顿 (Lapstone) 站,拉普斯顿 (Lapstone)
23821,Boggabri Station,Boggabri,巴格布里 (Boggabri) 站,巴格布里 (Boggabri)
24701,Casino Station,Casino,卡西诺 (Casino) 站,卡西诺 (Casino)
28781,Darnick Station,Ivanhoe,达尼克 (Darnick) 站,艾文霍 (Ivanhoe)
219320,Canterbury Station,Canterbury,坎特伯雷 (Canterbury) 站,坎特伯雷 (Canterbury)
206010,North Sydney Station,North Sydney,北悉尼 (North Sydney) 站,北悉尼 (North Sydney)
250840,Stanwell Park Station,Stanwell Park,斯坦威尔公园 (Stanwell Park) 站,斯坦威尔公园 (Stanwell Park)
2000326,"Central Station, Platform 6",Haymarket,中央 (Central) 车站 6 号站台,喜市 (Haymarket)
2000327,"Central Station, Platform 7",Haymarket,中央 (Central) 车站 7 号站台,喜市 (Haymarket)
2000329,"Central Station, Platform 9",Haymarket,中央 (Central) 车站 9 号站台,喜市 (Haymarket)
2000322,"Central Station, Platform 2",Haymarket,中央 (Central) 车站 2 号站台,喜市 (Haymarket)
2000323,"Central Station, Platform 3",Haymarket,中央 (Central) 车站 3 号站台,喜市 (Haymarket)
2000324,"Central Station, Platform 4",Haymarket,中央 (Central) 车站 4 号站台,喜市 (Haymarket)
2000325,"Central Station, Platform 5",Haymarket,中央 (Central) 车站 5 号站台,喜市 (Haymarket)
2000351,"Circular Quay Station, Platform 1",Sydney,环形码头 (Circular Quay) 站 1 号站台,悉尼 (Sydney)
2000352,"Circular Quay Station, Platform 2",Sydney,环形码头 (Circular Quay) 站 2 号站台,悉尼 (Sydney)
2000361,"Martin Place Station, Platform 1",Sydney,马丁广场 (Martin Place) 站 1 号站台,悉尼 (Sydney)
2000362,"Martin Place Station, Platform 2",Sydney,马丁广场 (Martin Place) 站 2 号站台,悉尼 (Sydney)
2000371,"Museum Station, Platform 1",Sydney,博物馆 (Museum) 站 1 号站台,悉尼 (Sydney)
2000372,"Museum Station, Platform 2",Sydney,博物馆 (Museum) 站 2 号站台,悉尼 (Sydney)
2000381,"St James Station, Platform 1",Sydney,圣詹姆斯 (St James) 站 1 号站台,悉尼 (Sydney)
2000382,"St James Station, Platform 2",Sydney,圣詹姆斯 (St James) 站 2 号站台,悉尼 (Sydney)
2000391,"Town Hall Station, Platform 1",Sydney,市政厅 (Town Hall) 站 1 号站台,悉尼 (Sydney)
2000394,"Town Hall Station, Platform 4",Sydney,市政厅 (Town Hall) 站 4 号站台,悉尼 (Sydney)
2000395,"Town Hall Station, Platform 5",Sydney,市政厅 (Town Hall) 站 5 号站台,悉尼 (Sydney)
2000396,"Town Hall Station, Platform 6",Sydney,市政厅 (Town Hall) 站 6 号站台,悉尼 (Sydney)
2000403,"Wynyard Station, Platform 3",Sydney,温耶德 (Wynyard) 站 3 号站台,悉尼 (Sydney)
2000404,"Wynyard Station, Platform 4",Sydney,温耶德 (Wynyard) 站 4 号站台,悉尼 (Sydney)
2000405,"Wynyard Station, Platform 5",Sydney,温耶德 (Wynyard) 站 5 号站台,悉尼 (Sydney)
2000406,"Wynyard Station, Platform 6",Sydney,温耶德 (Wynyard) 站 6 号站台,悉尼 (Sydney)
201171,"Kings Cross Station, Platform 1",Potts Point,国王十字 (Kings Cross) 车站 1 号站台,帕茲角 (Potts Point)
2015112,"Green Square Station, Platform 2",Alexandria,绿色广场 (Green Square) 站 2 号站台,亚历山德里亚 (Alexandria)
2015121,"Macdonaldtown Station, Platform 1",Eveleigh,麦克唐纳城 (Macdonaldtown) 站 1 号站台,伊夫利 (Eveleigh)
2015122,"Macdonaldtown Station, Platform 2",Eveleigh,麦克唐纳城 (Macdonaldtown) 站 2 号站台,伊夫利 (Eveleigh)
2015131,"Redfern Station, Platform 1",Eveleigh,雷德芬 (Redfern) 站 1 号站台,伊夫利 (Eveleigh)
2015133,"Redfern Station, Platform 3",Eveleigh,雷德芬 (Redfern) 站 3 号站台,伊夫利 (Eveleigh)
2015134,"Redfern Station, Platform 4",Eveleigh,雷德芬 (Redfern) 站 4 号站台,伊夫利 (Eveleigh)
2015135,"Redfern Station, Platform 5",Eveleigh,雷德芬 (Redfern) 站 5 号站台,伊夫利 (Eveleigh)
2015137,"Redfern Station, Platform 7",Eveleigh,雷德芬 (Redfern) 站 7 号站台,伊夫利 (Eveleigh)
2015138,"Redfern Station, Platform 8",Eveleigh,雷德芬 (Redfern) 站 8 号站台,伊夫利 (Eveleigh)
2015139,"Redfern Station, Platform 9",Eveleigh,雷德芬 (Redfern) 站 9 号站台,伊夫利 (Eveleigh)
2079102,"Mount Colah Station, Platform 2",Mount Colah,芒特科拉 (Mount Colah) 站 2 号站台,芒特科拉 (Mount Colah)
208041,"Mount Kuring-gai Station, Platform 1",Mount Kuring-Gai,柯灵盖山 (Mount Kuring-gai) 站 1 号站台,柯灵盖山 (Mount Kuring-Gai)
208171,"Berowra Station, Platform 1",Berowra,伯罗拉 (Berowra) 站 1 号站台,伯罗拉 (Berowra)
208172,"Berowra Station, Platform 2",Berowra,伯罗拉 (Berowra) 站 2 号站台,伯罗拉 (Berowra)
208173,"Berowra Station, Platform 3",Berowra,伯罗拉 (Berowra) 站 3 号站台,伯罗拉 (Berowra)
208182,"Cowan Station, Platform 2",Cowan,考恩 (Cowan) 站 2 号站台,考恩 (Cowan)
208342,"Hawkesbury River Station, Platform 2",Brooklyn,霍克斯伯里河 (Hawkesbury River) 站 2 号站台,布鲁克林 (Brooklyn)
2113341,"Macquarie Park Station, Platform 1",Macquarie Park,麦考瑞公园 (Macquarie Park) 站 1 号站台,麦考瑞公园 (Macquarie Park)
2113342,"Macquarie Park Station, Platform 2",Macquarie Park,麦考瑞公园 (Macquarie Park) 站 2 号站台,麦考瑞公园 (Macquarie Park)
2113352,"Macquarie University Station, Platform 2",Macquarie Park,麦考瑞大学 (Macquarie University) 站 2 号站台,麦考瑞公园 (Macquarie Park)
213891,"Rhodes Station, Platform 1",Rhodes,罗兹 (Rhodes) 站 1 号站台,罗兹 (Rhodes)
213892,"Rhodes Station, Platform 2",Rhodes,罗兹 (Rhodes) 站 2 号站台,罗兹 (Rhodes)
213893,"Rhodes Station, Platform 3",Rhodes,罗兹 (Rhodes) 站 3 号站台,罗兹 (Rhodes)
214061,"Flemington Station, Platform 1",Homebush West,弗莱明顿 (Flemington) 站 1 号站台,康宝树西 (Homebush West)
214062,"Flemington Station, Platform 2",Homebush West,弗莱明顿 (Flemington) 站 2 号站台,康宝树西 (Homebush West)
214063,"Flemington Station, Platform 3",Homebush West,弗莱明顿 (Flemington) 站 3 号站台,康宝树西 (Homebush West)
214064,"Flemington Station, Platform 4",Homebush West,弗莱明顿 (Flemington) 站 4 号站台,康宝树西 (Homebush West)
214072,"Homebush Station, Platform 2",Homebush,康宝树 (Homebush) 站 2 号站台,康宝树 (Homebush)
214074,"Homebush Station, Platform 4",Homebush,康宝树 (Homebush) 站 4 号站台,康宝树 (Homebush)
2148535,"Blacktown Station, Platform 5",Blacktown,黑镇 (Blacktown) 站 5 号站台,黑镇 (Blacktown)
2148536,"Blacktown Station, Platform 6",Blacktown,黑镇 (Blacktown) 站 6 号站台,黑镇 (Blacktown)
2148537,"Blacktown Station, Platform 7",Blacktown,黑镇 (Blacktown) 站 7 号站台,黑镇 (Blacktown)
2148541,"Marayong Station, Platform 1",Marayong,马拉永 (Marayong) 站 1 号站台,马拉永 (Marayong)
2148542,"Marayong Station, Platform 2",Marayong,马拉永 (Marayong) 站 2 号站台,马拉永 (Marayong)
2150401,"Harris Park Station, Platform 1",Harris Park,哈里斯公园 (Harris Park) 站 1 号站台,哈里斯公园 (Harris Park)
2150402,"Harris Park Station, Platform 2",Harris Park,哈里斯公园 (Harris Park) 站 2 号站台,哈里斯公园 (Harris Park)
2150403,"Harris Park Station, Platform 3",Harris Park,哈里斯公园 (Harris Park) 站 3 号站台,哈里斯公园 (Harris Park)
2150404,"Harris Park Station, Platform 4",Harris Park,哈里斯公园 (Harris Park) 站 4 号站台,哈里斯公园 (Harris Park)
2150411,"Parramatta Station, Platform 1",Parramatta,帕拉马塔 (Parramatta) 站 1 号站台,帕拉马塔 (Parramatta)
2150412,"Parramatta Station, Platform 2",Parramatta,帕拉马塔 (Parramatta) 站 2 号站台,帕拉马塔 (Parramatta)
2150413,"Parramatta Station, Platform 3",Parramatta,帕拉马塔 (Parramatta) 站 3 号站台,帕拉马塔 (Parramatta)
2150414,"Parramatta Station, Platform 4",Parramatta,帕拉马塔 (Parramatta) 站 4 号站台,帕拉马塔 (Parramatta)
2000330,"Central Station, Platform 10",Haymarket,中央 (Central) 车站 10 号站台,喜市 (Haymarket)
2000332,"Central Station, Platform 12",Haymarket,中央 (Central) 车站 12 号站台,喜市 (Haymarket)
2000333,"Central Station, Platform 13",Haymarket,中央 (Central) 车站 13 号站台,喜市 (Haymarket)
2000334,"Central Station, Platform 14",Haymarket,中央 (Central) 车站 14 号站台,喜市 (Haymarket)
2000335,"Central Station, Platform 15",Haymarket,中央 (Central) 车站 15 号站台,喜市 (Haymarket)
2000336,"Central Station, Platform 16",Haymarket,中央 (Central) 车站 16 号站台,喜市 (Haymarket)
2000337,"Central Station, Platform 17",Haymarket,中央 (Central) 车站 17 号站台,喜市 (Haymarket)
2000338,"Central Station, Platform 18",Haymarket,中央 (Central) 车站 18 号站台,喜市 (Haymarket)
2000339,"Central Station, Platform 19",Haymarket,中央 (Central) 车站 19 号站台,喜市 (Haymarket)
2000340,"Central Station, Platform 20",Haymarket,中央 (Central) 车站 20 号站台,喜市 (Haymarket)
2000341,"Central Station, Platform 21",Haymarket,中央 (Central) 车站 21 号站台,喜市 (Haymarket)
2000342,"Central Station, Platform 22",Haymarket,中央 (Central) 车站 22 号站台,喜市 (Haymarket)
2000343,"Central Station, Platform 23",Haymarket,中央 (Central) 车站 23 号站台,喜市 (Haymarket)
2000344,"Central Station, Platform 24",Haymarket,中央 (Central) 车站 24 号站台,喜市 (Haymarket)
2015140,"Redfern Station, Platform 10",Eveleigh,雷德芬 (Redfern) 站 10 号站台,伊夫利 (Eveleigh)
2015141,"Redfern Station, Platform 11",Eveleigh,雷德芬 (Redfern) 站 11 号站台,伊夫利 (Eveleigh)
2015142,"Redfern Station, Platform 12",Eveleigh,雷德芬 (Redfern) 站 12 号站台,伊夫利 (Eveleigh)
2020102,"International Airport Station, Platform 2",Mascot,国际机场 (International Airport) 站 2 号站台,马斯党 (Mascot)
2020111,"Mascot Station, Platform 1",Mascot,马斯党 (Mascot) 站 1 号站台,马斯党 (Mascot)
2020112,"Mascot Station, Platform 2",Mascot,马斯党 (Mascot) 站 2 号站台,马斯党 (Mascot)
2160262,"Merrylands Station, Platform 2",Merrylands,马里兰 (Merrylands) 站 2 号站台,马里兰 (Merrylands)
2161252,"Guildford Station, Platform 2",Guildford,吉尔福德 (Guildford) 站 2 号站台,吉尔福德 (Guildford)
2161261,"Yennora Station, Platform 1",Yennora,耶诺拉 (Yennora) 站 1 号站台,耶诺拉 (Yennora)
2162191,"Chester Hill Station, Platform 1",Chester Hill,车打山 (Chester Hill) 站 1 号站台,车打山 (Chester Hill)
2162192,"Chester Hill Station, Platform 2",Chester Hill,车打山 (Chester Hill) 站 2 号站台,车打山 (Chester Hill)
2162201,"Sefton Station, Platform 1",Sefton,塞夫顿 (Sefton) 站 1 号站台,塞夫顿 (Sefton)
2162202,"Sefton Station, Platform 2",Sefton,塞夫顿 (Sefton) 站 2 号站台,塞夫顿 (Sefton)
2163191,"Carramar Station, Platform 1",Carramar,卡拉马 (Carramar) 站 1 号站台,卡拉马 (Carramar)
2163192,"Carramar Station, Platform 2",Carramar,卡拉马 (Carramar) 站 2 号站台,卡拉马 (Carramar)
2163201,"Leightonfield Station, Platform 1",Villawood,雷顿福德(Leightonfield) 站 1 号站台,维拉活 (Villawood)
2163202,"Leightonfield Station, Platform 2",Villawood,雷顿福德(Leightonfield) 站 2 号站台,维拉活 (Villawood)
2163211,"Villawood Station, Platform 1",Villawood,维拉活 (Villawood) 站 1 号站台,维拉活 (Villawood)
2163212,"Villawood Station, Platform 2",Villawood,维拉活 (Villawood) 站 2 号站台,维拉活 (Villawood)
2165201,"Fairfield Station, Platform 1",Fairfield,费尔菲尔德 (Fairfield) 站 1 号站台,费尔菲尔德 (Fairfield)
2165202,"Fairfield Station, Platform 2",Fairfield,费尔菲尔德 (Fairfield) 站 2 号站台,费尔菲尔德 (Fairfield)
2166272,"Cabramatta Station, Platform 2",Cabramatta,卡布拉马塔 (Cabramatta) 站 2 号站台,卡布拉马塔 (Cabramatta)
2166282,"Canley Vale Station, Platform 2",Canley Vale,坎利谷 (Canley Vale) 站 2 号站台,坎利谷 (Canley Vale)
216761,"Glenfield Station, Platform 1",Glenfield,格恩佛 (Glenfield) 站 1 号站台,格恩佛 (Glenfield)
216762,"Glenfield Station, Platform 2",Glenfield,格恩佛 (Glenfield) 站 2 号站台,格恩佛 (Glenfield)
216763,"Glenfield Station, Platform 3",Glenfield,格恩佛 (Glenfield) 站 3 号站台,格恩佛 (Glenfield)
2170811,"Casula Station, Platform 1",Casula,卡苏拉 (Casula) 站 1 号站台,卡苏拉 (Casula)
2170821,"Liverpool Station, Platform 1",Liverpool,利物浦 (Liverpool) 站 1 号站台,利物浦 (Liverpool)
2170822,"Liverpool Station, Platform 2",Liverpool,利物浦 (Liverpool) 站 2 号站台,利物浦 (Liverpool)
2170823,"Liverpool Station, Platform 3",Liverpool,利物浦 (Liverpool) 站 3 号站台,利物浦 (Liverpool)
2170831,"Warwick Farm Station, Platform 1",Warwick Farm,沃里克农场 (Warwick Farm) 站 1 号站台,沃里克农场 (Warwick Farm)
2170832,"Warwick Farm Station, Platform 2",Warwick Farm,沃里克农场 (Warwick Farm) 站 2 号站台,沃里克农场 (Warwick Farm)
217391,"Holsworthy Station, Platform 1",Holsworthy,何窝田 (Holsworthy) 站 1 号站台,何窝田 (Holsworthy)
217392,"Holsworthy Station, Platform 2",Holsworthy,何窝田 (Holsworthy) 站 2 号站台,何窝田 (Holsworthy)
219282,"Belmore Station, Platform 2",Belmore,贝摩 (Belmore) 站 2 号站台,贝摩 (Belmore)
2193110,"Canterbury Station, Platform - Unnamed",Canterbury,坎特伯雷 (Canterbury) 站 站台 - 未命名,坎特伯雷 (Canterbury)
2193111,"Canterbury Station, Platform 1",Canterbury,坎特伯雷 (Canterbury) 站 1 号站台,坎特伯雷 (Canterbury)
2193112,"Canterbury Station, Platform 2",Canterbury,坎特伯雷 (Canterbury) 站 2 号站台,坎特伯雷 (Canterbury)
2193121,"Hurlstone Park Station, Platform 1",Hurlstone Park,赫尔斯通公园 (Hurlstone Park) 站 1 号站台,赫尔斯通公园 (Hurlstone Park)
2193122,"Hurlstone Park Station, Platform 2",Hurlstone Park,赫尔斯通公园 (Hurlstone Park) 站 2 号站台,赫尔斯通公园 (Hurlstone Park)
2194110,"Campsie Station, Platform",Campsie,坎斯 (Campsie) 站 站台,坎斯 (Campsie)
2194112,"Campsie Station, Platform 2",Campsie,坎斯 (Campsie) 站 2 号站台,坎斯 (Campsie)
2195131,"Lakemba Station, Platform 1",Lakemba,拉开巴 (Lakemba) 站 1 号站台,拉开巴 (Lakemba)
2195141,"Wiley Park Station, Platform 1",Wiley Park,威利公园 (Wiley Park) 站 1 号站台,威利公园 (Wiley Park)
2195142,"Wiley Park Station, Platform 2",Wiley Park,威利公园 (Wiley Park) 站 2 号站台,威利公园 (Wiley Park)
2196291,"Punchbowl Station, Platform 1",Punchbowl,宾治宝 (Punchbowl) 站 1 号站台,宾治宝 (Punchbowl)
2199171,"Yagoona Station, Platform 1",Yagoona,雅古纳 (Yagoona) 站 1 号站台,雅古纳 (Yagoona)
2199172,"Yagoona Station, Platform 2",Yagoona,雅古纳 (Yagoona) 站 2 号站台,雅古纳 (Yagoona)
2200501,"Bankstown Station, Platform 1",Bankstown,奔驰镇 (Bankstown) 站 1 号站台,奔驰镇 (Bankstown)
2200502,"Bankstown Station, Platform 2",Bankstown,奔驰镇 (Bankstown) 站 2 号站台,奔驰镇 (Bankstown)
220361,"Dulwich Hill Station, Platform 1",Dulwich Hill,德域山 (Dulwich Hill) 站 1 号站台,德域山 (Dulwich Hill)
220362,"Dulwich Hill Station, Platform 2",Dulwich Hill,德域山 (Dulwich Hill) 站 2 号站台,德域山 (Dulwich Hill)
2204121,"Marrickville Station, Platform 1",Marrickville,马里克维尔 (Marrickville) 站 1 号站台,马里克维尔 (Marrickville)
2204122,"Marrickville Station, Platform 2",Marrickville,马里克维尔 (Marrickville) 站 2 号站台,马里克维尔 (Marrickville)
2205101,"Turrella Station, Platform 1",Turrella,图雷拉 (Turrella) 站 1 号站台,图雷拉 (Turrella)
2205102,"Turrella Station, Platform 2",Turrella,图雷拉 (Turrella) 站 2 号站台,图雷拉 (Turrella)
2205112,"Wolli Creek Station, Platform 2",Wolli Creek,涡拉溪 (Wolli Creek) 站 2 号站台,涡拉溪 (Wolli Creek)
2205113,"Wolli Creek Station, Platform 3",Wolli Creek,涡拉溪 (Wolli Creek) 站 3 号站台,涡拉溪 (Wolli Creek)
2205114,"Wolli Creek Station, Platform 4",Wolli Creek,涡拉溪 (Wolli Creek) 站 4 号站台,涡拉溪 (Wolli Creek)
220591,"Arncliffe Station, Platform 1",Arncliffe,安克利夫 (Arncliffe) 站 1 号站台,安克利夫 (Arncliffe)
220593,"Arncliffe Station, Platform 3",Arncliffe,安克利夫 (Arncliffe) 站 3 号站台,安克利夫 (Arncliffe)
220594,"Arncliffe Station, Platform 4",Arncliffe,安克利夫 (Arncliffe) 站 4 号站台,安克利夫 (Arncliffe)
2207271,"Bardwell Park Station, Platform 1",Bardwell Park,巴德威公园 (Bardwell Park) 站 1 号站台,巴德威公园 (Bardwell Park)
2207272,"Bardwell Park Station, Platform 2",Bardwell Park,巴德威公园 (Bardwell Park) 站 2 号站台,巴德威公园 (Bardwell Park)
2207281,"Bexley North Station, Platform 1",Bexley North,北贝克斯利 (Bexley North) 站 1 号站台,北贝克斯利 (Bexley North)
