,English,,Simplified Chinese,
228920,Adamstown Station,Adamstown,亚当斯镇 (Adamstown) 站,亚当斯镇 (Adamstown)
229210,Broadmeadow Station,Broadmeadow,布罗德梅多 (Broadmeadow) 站,布罗德梅多 (Broadmeadow)
229310,Newcastle Interchange,Wickham,纽卡斯尔 (Newcastle) 交汇站,威克姆 (Wickham)
230310,Hamilton Station,Hamilton,汉密尔顿 (Hamilton) 站,汉密尔顿 (Hamilton)
230410,Waratah Station,Mayfield,瓦拉塔 (Waratah) 站,梅菲尔德 (Mayfield)
230420,Warabrook Station,Warabrook,瓦瑞布如克 (Warabrook) 站,瓦瑞布如克 (Warabrook)
232030,Telarah Station,Telarah,特拉赫 (Telarah) 站,特拉赫 (Telarah)
232050,Mindaribba Station,Mindaribba,明达里巴 (Mindaribba) 站,明达里巴 (Mindaribba)
232210,Hexham Station,Hexham,赫克瑟姆 (Hexham) 站,赫克瑟姆 (Hexham)
232220,Tarro Station,Tarro,塔罗 (Tarro) 站,塔罗 (Tarro)
232240,Thornton Station,Thornton,桑顿 (Thornton) 站,桑顿 (Thornton)
232310,Metford Station,East Maitland,梅特福德 (Metford) 站,东梅特兰 (East Maitland)
232320,Victoria Street Station,East Maitland,维多利亚街 (Victoria Street) 站,东梅特兰 (East Maitland)
232330,East Maitland Station,East Maitland,东梅特兰 (East Maitland) 站,东梅特兰 (East Maitland)
233010,Singleton Station,Singleton,辛格尔顿 (Singleton) 站,辛格尔顿 (Singleton)
233410,Greta Station,Greta,格里塔 (Greta) 站,格里塔 (Greta)
233510,Branxton Station,Branxton,布兰克斯顿 (Branxton) 站,布兰克斯顿 (Branxton)
233520,Belford Station,Belford,贝尔福德 (Belford) 站,贝尔福德 (Belford)
233610,Aberdeen Station,Aberdeen,阿伯丁 (Aberdeen) 站,阿伯丁 (Aberdeen)
233710,Scone Station,Scone,斯昆 (Scone) 站,斯昆 (Scone)
242030,Wirragulla Station,Wirragulla,韦拉古拉 (Wirragulla) 站,韦拉古拉 (Wirragulla)
208110,Berowra Station,Berowra,伯罗拉 (Berowra) 站,伯罗拉 (Berowra)
208120,Cowan Station,Cowan,考恩 (Cowan) 站,考恩 (Cowan)
208310,Hawkesbury River Station,Brooklyn,霍克斯伯里河 (Hawkesbury River) 站,布鲁克林 (Brooklyn)
211310,Macquarie University Station,Macquarie Park,麦考瑞大学 (Macquarie University) 站,麦考瑞公园 (Macquarie Park)
211340,Macquarie Park Station,Macquarie Park,麦考瑞公园 (Macquarie Park) 站,麦考瑞公园 (Macquarie Park)
211410,Denistone Station,Denistone,德尼斯通 (Denistone) 站,德尼斯通 (Denistone)
211610,Rydalmere Station,Rydalmere,赖多米尔 (Rydalmere) 站,赖多米尔 (Rydalmere)
211710,Telopea Station,Telopea,特洛皮亚 (Telopea) 站,特洛皮亚 (Telopea)
211720,Dundas Station,Dundas,邓达斯 (Dundas) 站,邓达斯 (Dundas)
211810,Carlingford Station,Carlingford,卡林福德 (Carlingford) 站,卡林福德 (Carlingford)
211910,Beecroft Station,Beecroft,比克罗夫特 (Beecroft) 站,比克罗夫特 (Beecroft)
211920,Cheltenham Station,Cheltenham,切尔滕纳姆 (Cheltenham) 站,切尔滕纳姆 (Cheltenham)
212020,Pennant Hills Station,Pennant Hills,彭南特山 (Pennant Hills) 站,彭南特山 (Pennant Hills)
212210,Eastwood Station,Eastwood,伊士活 (Eastwood) 站,伊士活 (Eastwood)
212710,Olympic Park Station,Sydney Olympic Park,奥林匹克公园 (Olympic Park) 站,悉尼奥林匹克公园 (Sydney Olympic Park)
213110,Ashfield Station,Ashfield,艾士菲 (Ashfield) 站,艾士菲 (Ashfield)
213210,Croydon Station,Croydon,克罗伊登 (Croydon) 站,克罗伊登 (Croydon)
213410,Burwood Station,Burwood,宝活 (Burwood) 站,宝活 (Burwood)
213710,North Strathfield Station,North Strathfield,北史卓菲 (North Strathfield) 站,北史卓菲 (North Strathfield)
213810,Concord West Station,Concord West,康科德西 (Concord West) 站,康科德西 (Concord West)
214010,Homebush Station,Homebush,康宝树 (Homebush) 站,康宝树 (Homebush)
214020,Flemington Station,Homebush West,弗莱明顿 (Flemington) 站,康宝树西 (Homebush West)
214110,Lidcombe Station,Lidcombe,利德科姆 (Lidcombe) 站,礼琴 (Lidcombe)
214210,Camellia Station,Camellia,卡梅利亚 (Camellia) 站,卡梅利亚 (Camellia)
214230,Clyde Station,Granville,奇街 (Clyde) 站,格兰维尔 (Granville)
214240,Granville Station,Granville,格兰维尔 (Granville) 站,格兰维尔 (Granville)
214310,Regents Park Station,Regents Park,摄政公园 (Regents Park) 站,摄政公园 (Regents Park)
214320,Birrong Station,Birrong,比容 (Birrong) 站,比容 (Birrong)
214410,Auburn Station,Auburn,奥本 (Auburn) 站,奥本 (Auburn)
214510,Westmead Station,Westmead,威士密 (Westmead) 站,威士密 (Westmead)
214530,Pendle Hill Station,Pendle Hill,佩杜山 (Pendle Hill) 站,佩杜山 (Pendle Hill)
214610,Toongabbie Station,Toongabbie,通格比 (Toongabbie) 站,通格比 (Toongabbie)
214710,Seven Hills Station,Seven Hills,七山 (Seven Hills) 站,七山 (Seven Hills)
214810,Blacktown Station,Blacktown,黑镇 (Blacktown) 站,黑镇 (Blacktown)
216110,Guildford Station,Guildford,吉尔福德 (Guildford) 站,吉尔福德 (Guildford)
216210,Sefton Station,Sefton,塞夫顿 (Sefton) 站,塞夫顿 (Sefton)
216220,Chester Hill Station,Chester Hill,车打山 (Chester Hill) 站,车打山 (Chester Hill)
216310,Leightonfield Station,Villawood,雷顿福德 (Leightonfield) 站,维拉活 (Villawood)
216510,Fairfield Station,Fairfield,费尔菲尔德 (Fairfield) 站,费尔菲尔德 (Fairfield)
216610,Canley Vale Station,Canley Vale,坎利谷 (Canley Vale) 站,坎利谷 (Canley Vale)
216620,Cabramatta Station,Cabramatta,卡布拉马塔 (Cabramatta) 站,卡布拉马塔 (Cabramatta)
217020,Liverpool Station,Liverpool,利物浦 (Liverpool) 站,利物浦 (Liverpool)
217030,Casula Station,Casula,卡苏拉 (Casula) 站,卡苏拉 (Casula)
217310,Holsworthy Station,Holsworthy,何窝田 (Holsworthy) 站,何窝田 (Holsworthy)
219310,Hurlstone Park Station,Hurlstone Park,赫尔斯通公园 (Hurlstone Park) 站,赫尔斯通公园 (Hurlstone Park)
257620,Burradoo Station,Burradoo,巴拉多 (Burradoo) 站,巴拉多 (Burradoo)
257710,Moss Vale Station,Moss Vale,莫斯韦尔 (Moss Vale) 站,莫斯韦尔 (Moss Vale)
257910,Wingello Station,Wingello,温杰洛 (Wingello) 站,温杰洛 (Wingello)
23381,Murrurundi Station,Murrurundi,马鲁兰迪 (Murrurundi) 站,马鲁兰迪 (Murrurundi)
23391,Willow Tree Station,Willow Tree,威洛特里 (Willow Tree) 站,威洛特里 (Willow Tree)
234012,Tamworth Station,East Tamworth,谭沃思 (Tamworth) 站,东谭沃思 (East Tamworth)
23411,Werris Creek Station,Werris Creek,韦里斯克里克 (Werris Creek) 站,韦里斯克里克 (Werris Creek)
23431,Quirindi Station,Quirindi,奎林代 (Quirindi) 站,奎林代 (Quirindi)
23521,Kootingal Station,Kootingal,库丁格 (Kootingal) 站,库丁格 (Kootingal)
23541,Walcha Road Station,Walcha Road,瓦尔夏路 (Walcha Road) 站,瓦尔夏路 (Walcha Road)
235813,Uralla Station,Uralla,尤腊拉 (Uralla) 站,尤腊拉 (Uralla)
257920,Penrose Station,Penrose,彭罗斯 (Penrose) 站,彭罗斯 (Penrose)
274720,Kingswood Station,Kingswood ,金斯伍德 (Kingswood) 站,金斯伍德 (Kingswood) 
275020,Emu Plains Station,Emu Plains,鸸鹋平原 (Emu Plains) 站,鸸鹋平原 (Emu Plains)
275310,East Richmond Station,Richmond,东里士满 (East Richmond) 站,里士满 (Richmond)
275320,Richmond Station,Richmond,里士满 (Richmond) 站,里士满 (Richmond)
275620,Windsor Station,Windsor,温莎 (Windsor) 站,温莎 (Windsor)
275630,Clarendon Station,Clarendon,卡恩顿 (Clarendon) 站,卡恩顿 (Clarendon)
276010,St Marys Station,St Marys,圣玛丽 (St Marys) 站,圣玛丽 (St Marys)
276220,Schofields Station,Schofields,史告菲 (Schofields) 站,史告菲 (Schofields)
276310,Quakers Hill Station,Quakers Hill,贵格山 (Quakers Hill) 站,贵格山 (Quakers Hill)
276510,Riverstone Station,Riverstone,河石 (Riverstone) 站,河石 (Riverstone)
